,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
all,364818,930861,1056555,1069216,1309993,1453969,1584041,1747538,2551541,2745096,2818296,2891652,2972343,2757567,2788100,2875113,3089112,3170302
Acinetobacter,6695,14755,16320,16107,20551,20997,23447,23161,30277,32270,30154,30903,29514,25980,25247,24706,27965,28323
MDRA,18,35,32,55,115,163,102,116,143,130,80,99,98,92,97,101,45,27
